date,description,amount,polarity,balance,bank,statement_date,statement_month,source_file,category,merchant_key,confidence,rationale,classified_by,year,month,month_label
2024-01-02,DAILY PANTRY SINGAPORE SG,70.08,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Groceries,DAILY PANTRY,1.0,DAILY PANTRY is a well-known grocery store chain.,llm,2024,1,2024-01
2024-01-02,FRESH FIELDS GROCER SINGAPORE SG,84.08,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Groceries,FRESH FIELDS GROCER,1.0,The merchant name 'FRESH FIELDS GROCER' indicates it is a grocery store.,llm,2024,1,2024-01
2024-01-02,PARK & GO SINGAPORE SG,11.56,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Transport,PARK & GO,1.0,"This likely refers to parking services, which fit under the transport category.",llm,2024,1,2024-01
2024-01-02,CITY METRO CARD SINGAPORE SG,31.66,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Transport,CITY METRO CARD,1.0,Metro cards are typically used for public transportation.,llm,2024,1,2024-01
2024-01-03,ARCTIC MARKET SINGAPORE SG,43.25,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,1,2024-01
2024-01-03,SHELL STATION SINGAPORE SG,21.34,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Transport,SHELL STATION,0.9,"Shell stations primarily sell fuel, which falls under transport expenses.",llm,2024,1,2024-01
2024-01-04,SUNNY CAFE SINGAPORE SG,25.72,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,1,2024-01
2024-01-04,SKYWAY AIR SINGAPORE SG,175.72,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Travel,SKYWAY AIR,1.0,This likely refers to a flight or travel-related expense.,llm,2024,1,2024-01
2024-01-06,SUNNY CAFE SINGAPORE SG,10.77,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,1,2024-01
2024-01-07,PARK & GO SINGAPORE SG,18.99,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Transport,PARK & GO,1.0,"This likely refers to parking services, which fit under the transport category.",llm,2024,1,2024-01
2024-01-08,ARCTIC MARKET SINGAPORE SG,19.84,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,1,2024-01
